STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
06,001,400100,2937,+37.859419,-122.230389
06,001,400200,1974,+37.848292,-122.249525
06,001,400300,4865,+37.840265,-122.254416
06,001,400400,3703,+37.848451,-122.257310
06,001,400500,3517,+37.848941,-122.264742
06,001,400600,1571,+37.842226,-122.264926
06,001,400700,4206,+37.841719,-122.272150
06,001,400800,3594,+37.845393,-122.283126
06,001,400900,2302,+37.839285,-122.280316
06,001,401000,5678,+37.831263,-122.272163
06,001,401100,4156,+37.829959,-122.263403
06,001,401200,2416,+37.830988,-122.258039
06,001,401300,3528,+37.816500,-122.267870
06,001,401400,4314,+37.819904,-122.273309
06,001,401500,2630,+37.823505,-122.280480
06,001,401600,2163,+37.816670,-122.279621
06,001,401700,2667,+37.817286,-122.293793
06,001,401800,1703,+37.809593,-122.298293
06,001,402200,2385,+37.807292,-122.295186
06,001,402400,2351,+37.811419,-122.282190
06,001,402500,1784,+37.804984,-122.285183
06,001,402600,1151,+37.804782,-122.279657
06,001,402700,1569,+37.810251,-122.277443
06,001,402800,3345,+37.808665,-122.272709
06,001,402900,1434,+37.804261,-122.267119
06,001,403000,2788,+37.800788,-122.270661
06,001,403100,2238,+37.801099,-122.276502
06,001,403300,4054,+37.795600,-122.267839
06,001,403400,4146,+37.803458,-122.263683
06,001,403501,4374,+37.817316,-122.259876
06,001,403502,1991,+37.816035,-122.256743
06,001,403600,4482,+37.813421,-122.254114
06,001,403701,2587,+37.811375,-122.258315
06,001,403702,1724,+37.809381,-122.253441
06,001,403800,3461,+37.814476,-122.242249
06,001,403900,3584,+37.817368,-122.249127
06,001,404000,2819,+37.822454,-122.252530
06,001,404101,2929,+37.830348,-122.250622
06,001,404102,2283,+37.825832,-122.251044
06,001,404200,3483,+37.837583,-122.229689
06,001,404300,3218,+37.844021,-122.240192
06,001,404400,5314,+37.844684,-122.215800
06,001,404501,1677,+37.826215,-122.215638
06,001,404502,5784,+37.834622,-122.202426
06,001,404600,4353,+37.824214,-122.192737
06,001,404700,1954,+37.812155,-122.207488
06,001,404800,2684,+37.804704,-122.213272
06,001,404900,4129,+37.803940,-122.221525
06,001,405000,3136,+37.808241,-122.225708
06,001,405100,4197,+37.811496,-122.232389
06,001,405200,4597,+37.805121,-122.244707
06,001,405301,2603,+37.802213,-122.251370
06,001,405302,2530,+37.798371,-122.254529
06,001,405401,3957,+37.796502,-122.249274
06,001,405402,3114,+37.793393,-122.245787
06,001,405500,3643,+37.798377,-122.243251
06,001,405600,3137,+37.800774,-122.237766
06,001,405700,3243,+37.797944,-122.229405
06,001,405800,3965,+37.793907,-122.233227
06,001,405901,3910,+37.787735,-122.236032
06,001,405902,3035,+37.790990,-122.241014
06,001,406000,3450,+37.792134,-122.252325
06,001,406100,4381,+37.775082,-122.229059
06,001,406201,4649,+37.784942,-122.230630
06,001,406202,4718,+37.782006,-122.226739
06,001,406300,4113,+37.789134,-122.225086
06,001,406400,2145,+37.794392,-122.221750
06,001,406500,5930,+37.788388,-122.217093
06,001,406601,4596,+37.793538,-122.208333
06,001,406602,2493,+37.795766,-122.214744
06,001,406700,5048,+37.802231,-122.204070
06,001,406800,3428,+37.796987,-122.195694
06,001,406900,3719,+37.792556,-122.191739
06,001,407000,5885,+37.787523,-122.203288
06,001,407101,3414,+37.783072,-122.214771
06,001,407102,4351,+37.781064,-122.210336
06,001,407200,6746,+37.778084,-122.219368
06,001,407300,2598,+37.766422,-122.208745
06,001,407400,3954,+37.770995,-122.206895
06,001,407500,3931,+37.769421,-122.197642
06,001,407600,6027,+37.777190,-122.203607
06,001,407700,4109,+37.776356,-122.193265
06,001,407800,2425,+37.782023,-122.189557
06,001,407900,2706,+37.788232,-122.186216
06,001,408000,2671,+37.802069,-122.181962
06,001,408100,5991,+37.782720,-122.156490
06,001,408200,4054,+37.774619,-122.176128
06,001,408300,4167,+37.770292,-122.164941
06,001,408400,3323,+37.764837,-122.171070
06,001,408500,4972,+37.760259,-122.178894
06,001,408600,5492,+37.764969,-122.183777
06,001,408700,7207,+37.768332,-122.189780
06,001,408800,5547,+37.759438,-122.196713
06,001,408900,3414,+37.755682,-122.186029
06,001,409000,3552,+37.734916,-122.188832
06,001,409100,2255,+37.732071,-122.183268
06,001,409200,3152,+37.729406,-122.178207
06,001,409300,5229,+37.738359,-122.172261
06,001,409400,4306,+37.745747,-122.176564
06,001,409500,3122,+37.751321,-122.180804
06,001,409600,5063,+37.753377,-122.172472
06,001,409700,4696,+37.755620,-122.165716
06,001,409800,2887,+37.759356,-122.157665
06,001,409900,3308,+37.760102,-122.134933
06,001,410000,2805,+37.743410,-122.135552
06,001,410100,2406,+37.747626,-122.153917
06,001,410200,3062,+37.745759,-122.157499
06,001,410300,3536,+37.746755,-122.166517
06,001,410400,3792,+37.741093,-122.162165
06,001,410500,2193,+37.807099,-122.289823
06,001,420100,2355,+37.894631,-122.290916
06,001,420200,2898,+37.894805,-122.297564
06,001,420300,4571,+37.892659,-122.303641
06,001,420400,3124,+37.884853,-122.303068
